#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2017,9,21,1,50,287,2.9,3.7,0.86,6.67,5.29,237,1018.5,12,12.6,10.2,99,99
2017,9,21,2,50,264,4.1,5.2,0.87,7.69,5.34,243,1018.6,12.1,12.5,11,99,99
2017,9,21,3,50,269,4.8,5.7,0.84,7.69,5.38,248,1018.7,12.2,12.5,11,99,99
2017,9,21,4,50,267,5.9,6.8,0.84,7.69,5.22,255,1018.7,12.1,12.6,10.5,99,99
2017,9,21,5,50,268,5.8,6.7,1.04,8.33,5.2,259,1018.6,11.9,12.7,10.1,99,99
2017,9,21,6,50,271,5.5,6.2,1.05,7.69,4.91,258,1018.3,11.9,12.6,9.9,99,99
2017,9,21,7,50,268,5.1,5.9,1.1,7.69,5.18,251,1018.2,11.9,12.7,9.7,99,99
2017,9,21,8,50,268,4.3,5.2,1.07,7.14,5.28,249,1018.4,11.9,12.7,9.3,99,99
2017,9,21,9,50,276,3.7,4.4,1.01,7.14,5.27,260,1018.6,11.9,12.6,9.1,99,99
2017,9,21,10,50,250,3,3.9,1.1,7.69,5.47,254,1018.1,11.8,12.6,9.4,99,99
2017,9,21,11,50,242,2.2,2.9,1,6.67,5.53,269,1018.3,11.8,12.6,9.3,99,99
2017,9,21,12,50,205,1,1.4,1.05,7.14,5.54,257,1018.1,11.8,12.5,9,99,99
2017,9,21,13,50,125,1.3,2,0.91,7.14,5.39,227,1017.6,11.8,12.4,9,99,99
2017,9,21,14,50,104,3.4,4.1,0.88,7.14,5.52,222,1017.1,11.9,12.4,9.3,99,99
2017,9,21,15,50,119,5,5.9,0.97,7.14,5.83,231,1016.7,11.9,12.5,9.9,99,99
2017,9,21,16,50,95,7.7,8.7,0.89,7.14,5.48,217,1015.6,11.7,12.5,10,99,99
2017,9,21,17,50,106,7.9,9.5,0.83,7.14,4.15,219,1015.7,11.7,12.6,10.2,99,99
2017,9,21,18,50,131,8.4,10.4,0.91,6.67,3.99,221,1015.1,11.2,12.6,8.7,99,99
2017,9,21,19,50,148,9,10.4,1.04,3.7,4.03,120,1014.4,9.9,12.6,8.9,99,99
2017,9,21,20,50,134,10.2,12.5,1.16,4,3.96,138,1013.8,10,12.6,8.9,99,99
2017,9,21,21,50,111,14.1,16.9,1.35,4.35,4.19,133,1011.1,10.3,12.6,9,99,99
2017,9,21,22,50,107,13.4,16.4,1.84,5.26,4.48,119,1012,10.8,12.6,8.9,99,99
2017,9,21,23,50,101,14.5,18.2,2.28,5.88,4.94,100,1010.2,11.1,12.6,9.4,99,99
2017,9,22,0,50,103,13.3,15.3,2.68,6.25,5.28,100,1010.4,10.3,12.5,9.2,99,99
2017,9,22,1,50,101,15.5,18.9,2.91,6.67,5.54,107,1009,11,12.5,9.2,99,99
2017,9,22,2,50,100,14.5,18.1,3.28,7.14,5.79,104,1008.5,11,12.4,9.6,99,99
2017,9,22,3,50,104,14.9,18.1,3.14,7.14,5.68,112,1007.7,11,12.4,10,99,99
2017,9,22,4,50,101,13.9,16.6,3.43,7.14,6.02,115,1008.1,10.7,12.4,10.1,99,99
2017,9,22,5,50,96,13.8,15.9,3.18,7.69,5.97,110,1007.8,11,12.4,10.8,99,99
2017,9,22,6,50,97,15.1,18.7,3.54,8.33,6.21,133,1007.2,11.2,12.4,10.5,99,99
2017,9,22,7,50,95,13.5,16.5,3.79,7.69,6.25,120,1007,11.1,12.4,10.6,99,99
2017,9,22,8,50,99,14.7,18,3.31,7.14,6.02,88,1006.8,11,12.4,10.4,99,99
2017,9,22,9,50,99,13.6,16.5,3.25,7.14,6.1,95,1006.9,11.3,12.3,10.4,99,99
2017,9,22,10,50,97,12.8,15.4,2.94,7.69,5.99,108,1006.6,11.4,12.3,10.6,99,99
2017,9,22,11,50,102,12.9,16.5,2.83,7.69,5.89,120,1006.8,11.2,12.3,10.6,99,99
2017,9,22,12,50,107,11.7,14.8,2.68,7.14,5.64,105,1007,11.2,12.3,10.9,99,99
2017,9,22,13,50,108,10.7,12.6,2.77,6.67,5.78,100,1007.5,11.1,12.3,11,99,99
2017,9,22,14,50,110,9.7,12.2,2.57,7.14,5.74,119,1007.6,11.2,12.3,11.1,99,99
