Season,ghl,mt_wt,rnd_wt,dredge_hrs,number_hauls,mw_cpue,rw_cpue
2009/10,75000,69409.83,831708.6,1221.67,625,56.81553119909632,680.7964507600251
2010/11,65000,64475.04,672246,1015.16,618,63.51219512195122,662.2069427479412
2011/12,70000,61209.11,667008.1,986.03,699,62.076316136425874,676.4582213522915
2012/13,60000,62495.85,749643.6,1321.71,938,47.28408652427537,567.1770660734957
2013/14,55000,54926.1,526155.9,934.46,681,58.77843888448943,563.0587719110503
2014/15,55000,55658.93,667962.1,752.15,444,73.99977398125374,888.0703317157482
2015/16,55000,55577.04,634480.5,1227.88,768,45.26259895103756,516.7284262305762
2016/17,55000,24401.09,292760.3,1096.24,683,22.25889403780194,267.0585820623221
2017/18,55000,14190.02,136295.1,348.75,196,40.688229390681,390.81032258064516
2018/19,15000,15209.86,155333.6,262.15999999999997,162,58.01747024717731,592.514494964907
2019/20,15000,15069.99,165989.2,205.6,124,73.29761673151751,807.3404669260701
