"Season","ghl","n_vessels","mt_wt","rnd_wt","dredge_hrs","mt_cpue","rnd_cpue","meat_disc_mort_lbs"
"1995/96",NA,NA,NA,NA,NA,NA,NA,NA
"1996/97",NA,NA,NA,NA,NA,NA,NA,NA
"1997/98",NA,1,NA,NA,NA,NA,NA,NA
"1998/99",14000,2,13350,NA,93.8,142.3240938,NA,NA
"1999/00",14000,2,14345,NA,75.62,189.7068547,NA,NA
"2000/01",21000,3,21268,NA,129.48,164.2527996,NA,NA
"2001/02",21000,1,21030,NA,123.75,169.9393939,NA,NA
"2002/03",14000,2,13961,NA,79.07,176.5725126,NA,NA
"2003/04",14000,1,14070,NA,92.5,152.1081081,NA,NA
"2004/05",24000,2,23970,NA,184.67,129.801444,NA,NA
"2005/06",24000,3,24781,NA,272,91.10661765,NA,NA
"2006/07",17000,2,17005,NA,147,115.6802721,NA,NA
"2007/08",17000,2,17090,NA,225.17,75.89933383,NA,NA
"2008/09",5000,1,5010,NA,134,37.3880597,NA,NA
"2009/10",5000,1,4979.98,77570.7,86.99,57.2477296240947,891.719737900908,567.52276
"2010/11",0,NA,NA,NA,NA,NA,NA,NA
"2011/12",0,NA,NA,NA,NA,NA,NA,NA
"2012/13",0,NA,NA,NA,NA,NA,NA,NA
"2013/14",0,NA,NA,NA,NA,NA,NA,NA
"2014/15",0,NA,NA,NA,NA,NA,NA,NA
"2015/16",0,NA,NA,NA,NA,NA,NA,NA
"2016/17",6300,1,6360.02,83286.9,112.26,56.6543737751648,741.910742918225,174.809560117302
"2017/18",6300,1,6329.98,88327.8,102.28,61.8887368009386,863.588189284318,258.31299270073
"2018/19",6300,1,6419.96,85467,132.87,48.3176036727628,643.237751185369,530.040974729242
